Ṙ 	&Rdot; 
 	&rscapdot; 
ŕ 	&racute; 
Ŕ 	&Racute; 
 	&rringbl; 
 	&rscapdotbl; 
 	&resup; 
ꝛ 	&rrot; 
Ꝛ 	&Rrot; 
 	&rrotdotbl; 
 	&rrotacute; 
ꞃ 	&rins; 
Ꞃ 	&Rins; 
 	&rflour; 
s 	— 
S 	— 
 	&senl; 
ꜱ 	&sscap; 
ṡ 	&sdot; 
Ṡ 	&Sdot; 
 	&sscapdot; 
ś 	&sacute; 
Ś 	&Sacute; 
ṣ 	&sdotbl; 
Ṣ 	&Sdotbl; 
 	&sscapdotbl; 
ß 	&szlig; 
ẞ 	&SZlig; 
 	&slongaumllig; 
 	&slongchlig; 
 	&slonghlig; 
 	&slongilig; 
 	&slongjlig; 
 	&slongklig; 
 	&slongllig; 
 	&slongoumllig; 
 	&slongplig; 
 	&slongslig; 
 	&slongslonglig; 
 	&slongslongilig; 
 	&slongslongklig; 
 	&slongslongllig; 
 	&slongslongtlig; 
st 	&stlig; 
ﬅ 	&slongtlig; 
 	&slongtilig; 
 	&slongtrlig; 
 	&slonguumllig; 
 	&slongvinslig; 
 	&slongdestlig; 
ſ 	&slong; 
 	&slongenl; 
ẜ 	&slongbarslash; 
ẝ	&slongbar; 
	&slongovlmed; 
 	&slongslstrok; 
 	&slongflour; 
 	&slongacute; 
 	&slongdes; 
 	&slongdotbl; 
 	&Sclose; 
 	&sclose; 
ꞅ 	&sins; 
Ꞅ 	&Sins; 
t 	— 
T 	— 
 	&tenl; 
ᴛ 	&tscap; 
ꝷ 	&ttailstrok; 
 	&togon; 
 	&Togon; 
ṭ 	&tdotbl; 
Ṭ 	&Tdotbl; 
ṫ 	&tdot; 
Ṫ 	&Tdot; 
 	&tscapdot; 
 	&tscapdotbl; 
 	&tacute; 
 	&Tacute; 
 	&trlig; 
 	&ttlig; 
 	&trottrotlig; 
 	&tylig; 
 	&tzlig; 
ꞇ 	&trot; 
Ꞇ 	&Trot; 
 	&tcurl; 
u 	— 
U 	— 
 	&uenl; 
ᴜ 	&uscap; 
ʉ 	&ubar; 
ų 	&uogon; 
Ų 	&Uogon; 
 	&ucurl; 
 	&Ucurl; 
ụ 	&udotbl; 
Ụ 	&Udotbl; 
 	&ubrevinvbl; 
 	&udot; 
 	&Udot; 
ü 	&uuml; 
Ü 	&Uuml; 
ú 	&uacute; 
Ú 	&Uacute; 
ű 	&udblac; 
Ű 	&Udblac; 
 	&udotacute; 
 	&Udotacute; 
ù 	&ugrave; 
Ù 	&Ugrave; 
 	&uvertline; 
 	&Uvertline; 
û 	&ucirc; 
Û 	&Ucirc; 
 	&uumlcirc; 
 	&Uumlcirc; 
ǔ 	&ucar; 
Ǔ 	&Ucar; 
ů 	&uring; 
Ů 	&Uring; 
ủ 	&uhook; 
Ủ 	&Uhook; 
 	&ucurlbar; 
ŭ 	&ubreve; 
Ŭ 	&Ubreve; 
ū 	&umacr; 
Ū 	&Umacr; 
 	&umacrbreve; 
 	&Umacrbreve; 
 	&umacracute; 
 	&Umacracute; 
ǖ 	&uumlmacr; 
Ǖ 	&Uumlmacr; 
 	&uasup; 
 	&uesup; 
 	&Uesup; 
 	&uisup; 
 	&uosup; 
 	&Uosup; 
 	&uvsup; 
 	&uwsup; 
v 	— 
V 	— 
 	&venl; 
ᴠ 	&vscap; 
 	&vbar; 
 	&vslash; 
ꝟ 	&vdiagstrok; 
Ꝟ 	&Vdiagstrok; 
℣	&Vslstrok;
ṿ 	&vdotbl; 
Ṿ 	&Vdotbl; 
 	&vdot; 
 	&Vdot; 
 	&vuml; 
 	&Vuml; 
 	&vacute; 
 	&Vacute; 
 	&vdblac; 
 	&Vdblac; 
 	&vcirc; 
 	&Vcirc; 
 	&vring; 
 	&vmacr; 
 	&Vmacr; 
 	&Vovlhigh; 
ƿ 	&wynn; 
Ƿ 	&WYNN; 
ꝩ 	&vins; 
Ꝩ 	&Vins; 
 	&vinsdotbl; 
 	&Vinsdotbl; 
 	&vinsdot; 
 	&Vinsdot; 
 	&vinsacute; 
 	&Vinsacute; 
ỽ 	&vwelsh; 
Ỽ 	&Vwelsh; 
w 	— 
W 	— 
 	&wenl; 
ᴡ 	&wscap; 
ẉ 	&wdotbl; 
Ẉ 	&Wdotbl; 
ẇ 	&wdot; 
Ẇ 	&Wdot; 
ẅ 	&wuml; 
Ẅ 	&Wuml; 
ẃ 	&wacute; 
Ẃ 	&Wacute; 
