	&Oogondblac;	EBC4
ò	&ograve;	00F2
Ò	&Ograve;	00D2
ô	&ocirc;	00F4
Ô	&Ocirc;	00D4
	&oumlcirc;	E62D
	&Oumlcirc;	E22D
	&oogoncirc;	E60E
ǒ	&ocar;	01D2
Ǒ	&Ocar;	01D1
õ	&otilde;	00F5
Õ	&Otilde;	00D5
	&oring;	E637
ỏ	&ohook;	1ECF
Ỏ	&Ohook;	1ECE
ŏ	&obreve;	014F
Ŏ	&Obreve;	014E
	&oslashbreve;	EBEF
	&Oslashbreve;	EBEE
ō	&omacr;	014D
Ō	&Omacr;	014C
	&oslashmacr;	E652
	&Oslashmacr;	E252
	&omacrbreve;	E61B
	&Omacrbreve;	E21B
	&oslashmacrbreve;	E653
	&Oslashmacrbreve;	E253
ṓ	&omacracute;	1E53
Ṓ	&Omacracute;	1E52
	&oslashmacracute;	EBED
	&Oslashmacracute;	EBEC
ȫ	&oumlmacr;	022B
Ȫ	&Oumlmacr;	022A
	&oclig;	EFAD
œ	&oelig;	0153
Œ	&OElig;	0152
ɶ	&oeligscap;	0276
	&oeligenl;	EFDD
	&oeligogon;	E662
	&OEligogon;	E262
Ꝍ	&Oloop;	A74C
ꝍ	&oloop;	A74D
	&oeligacute;	E659
	&OEligacute;	E259
	&oeligdblac;	EBC9
	&OEligdblac;	EBC8
	&oeligmacr;	E65D
	&OEligmacr;	E25D
	&oeligmacrbreve;	E660
	&OEligmacrbreve;	E260
ꝏ	&oolig;	A74F
Ꝏ	&OOlig;	A74E
	&ooliguml;	EBE5
	&OOliguml;	EBE4
	&ooligacute;	EFE9
	&OOligacute;	EFE8
	&ooligdblac;	EFED
	&OOligdblac;	EFEC
	&ooligdotbl;	EFFD
	&OOligdotbl;	EFFC
	&orrotlig;	E8DE
	&oasup;	E643
	&oesup;	E644
	&Oesup;	E244
	&oisup;	E645
	&oosup;	E8E9
	&ousup;	E646
	&Ousup;	E246
	&ovsup;	E647
ɔ	&oopen;	0254
	&oopenmacr;	E7CC
p	?	0070
P	?	0050
	&penl;	EEF1
ᴘ	&pscap;	1D18
ꝑ	&pbardes;	A751
Ꝑ	&Pbardes;	A750
ꝓ	&pflour;	A753
Ꝓ	&Pflour;	A752
ꝕ	&psquirrel;	A755
Ꝕ	&Psquirrel;	A754
	&pdotbl;	E66D
	&Pdotbl;	E26D
ṗ	&pdot;	1E57
Ṗ	&Pdot;	1E56
	&pscapdot;	EBCF
ṕ	&pacute;	1E55
Ṕ	&Pacute;	1E54
	&pdblac;	E668
	&Pdblac;	E268
	&pmacr;	E665
	&pplig;	EED6
	&PPlig;	EEDD
	&ppflourlig;	EED7
	&ppliguml;	EBE7
	&PPliguml;	EBE6
ꟼ	&Prev;	A7FC
q	?	0071
Q	?	0051
